PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
77,0,3,0,NaN,0,0,7.8958,NaN,1
78,0,3,0,NaN,0,0,8.05,NaN,1
79,1,2,0,0.83,0,2,29,NaN,1
80,1,3,1,30,0,0,12.475,NaN,1
81,0,3,0,22,0,0,9,NaN,1
82,1,3,0,29,0,0,9.5,NaN,1
83,1,3,1,NaN,0,0,7.7875,NaN,2
84,0,1,0,28,0,0,47.1,NaN,1
85,1,2,1,17,0,0,10.5,NaN,1
86,1,3,1,33,3,0,15.85,NaN,1
87,0,3,0,16,1,3,34.375,NaN,1
88,0,3,0,NaN,0,0,8.05,NaN,1
89,1,1,1,23,3,2,263,C23 C25 C27,1
90,0,3,0,24,0,0,8.05,NaN,1
91,0,3,0,29,0,0,8.05,NaN,1
92,0,3,0,20,0,0,7.8542,NaN,1
93,0,1,0,46,1,0,61.175,E31,1
94,0,3,0,26,1,2,20.575,NaN,1
95,0,3,0,59,0,0,7.25,NaN,1
96,0,3,0,NaN,0,0,8.05,NaN,1
97,0,1,0,71,0,0,34.6542,A5,3
98,1,1,0,23,0,1,63.3583,D10 D12,3
99,1,2,1,34,0,1,23,NaN,1
100,0,2,0,34,1,0,26,NaN,1
101,0,3,1,28,0,0,7.8958,NaN,1
102,0,3,0,NaN,0,0,7.8958,NaN,1
103,0,1,0,21,0,1,77.2875,D26,1
104,0,3,0,33,0,0,8.6542,NaN,1
105,0,3,0,37,2,0,7.925,NaN,1
106,0,3,0,28,0,0,7.8958,NaN,1
107,1,3,1,21,0,0,7.65,NaN,1
108,1,3,0,NaN,0,0,7.775,NaN,1
109,0,3,0,38,0,0,7.8958,NaN,1
110,1,3,1,NaN,1,0,24.15,NaN,2
111,0,1,0,47,0,0,52,C110,1
112,0,3,1,14.5,1,0,14.4542,NaN,3
113,0,3,0,22,0,0,8.05,NaN,1
114,0,3,1,20,1,0,9.825,NaN,1
115,0,3,1,17,0,0,14.4583,NaN,3
116,0,3,0,21,0,0,7.925,NaN,1
117,0,3,0,70.5,0,0,7.75,NaN,2
118,0,2,0,29,1,0,21,NaN,1
119,0,1,0,24,0,1,247.5208,B58 B60,3
120,0,3,1,2,4,2,31.275,NaN,1
121,0,2,0,21,2,0,73.5,NaN,1
122,0,3,0,NaN,0,0,8.05,NaN,1
123,0,2,0,32.5,1,0,30.0708,NaN,3
124,1,2,1,32.5,0,0,13,E101,1
125,0,1,0,54,0,1,77.2875,D26,1
126,1,3,0,12,1,0,11.2417,NaN,3
127,0,3,0,NaN,0,0,7.75,NaN,2
128,1,3,0,24,0,0,7.1417,NaN,1
129,1,3,1,NaN,1,1,22.3583,F E69,3
130,0,3,0,45,0,0,6.975,NaN,1
131,0,3,0,33,0,0,7.8958,NaN,3
132,0,3,0,20,0,0,7.05,NaN,1
133,0,3,1,47,1,0,14.5,NaN,1
134,1,2,1,29,1,0,26,NaN,1
135,0,2,0,25,0,0,13,NaN,1
136,0,2,0,23,0,0,15.0458,NaN,3
137,1,1,1,19,0,2,26.2833,D47,1
138,0,1,0,37,1,0,53.1,C123,1
139,0,3,0,16,0,0,9.2167,NaN,1
140,0,1,0,24,0,0,79.2,B86,3
141,0,3,1,NaN,0,2,15.2458,NaN,3
142,1,3,1,22,0,0,7.75,NaN,1
143,1,3,1,24,1,0,15.85,NaN,1
144,0,3,0,19,0,0,6.75,NaN,2
145,0,2,0,18,0,0,11.5,NaN,1
146,0,2,0,19,1,1,36.75,NaN,1
147,1,3,0,27,0,0,7.7958,NaN,1
148,0,3,1,9,2,2,34.375,NaN,1
149,0,2,0,36.5,0,2,26,F2,1
150,0,2,0,42,0,0,13,NaN,1
151,0,2,0,51,0,0,12.525,NaN,1
152,1,1,1,22,1,0,66.6,C2,1
153,0,3,0,55.5,0,0,8.05,NaN,1
154,0,3,0,40.5,0,2,14.5,NaN,1
155,0,3,0,NaN,0,0,7.3125,NaN,1
156,0,1,0,51,0,1,61.3792,NaN,3
157,1,3,1,16,0,0,7.7333,NaN,2
158,0,3,0,30,0,0,8.05,NaN,1
159,0,3,0,NaN,0,0,8.6625,NaN,1
160,0,3,0,NaN,8,2,69.55,NaN,1
161,0,3,0,44,0,1,16.1,NaN,1
162,1,2,1,40,0,0,15.75,NaN,1
163,0,3,0,26,0,0,7.775,NaN,1
164,0,3,0,17,0,0,8.6625,NaN,1
165,0,3,0,1,4,1,39.6875,NaN,1
166,1,3,0,9,0,2,20.525,NaN,1
167,1,1,1,NaN,0,1,55,E33,1
168,0,3,1,45,1,4,27.9,NaN,1
169,0,1,0,NaN,0,0,25.925,NaN,1
170,0,3,0,28,0,0,56.4958,NaN,1
171,0,1,0,61,0,0,33.5,B19,1
172,0,3,0,4,4,1,29.125,NaN,2
173,1,3,1,1,1,1,11.1333,NaN,1
174,0,3,0,21,0,0,7.925,NaN,1
175,0,1,0,56,0,0,30.6958,A7,3
176,0,3,0,18,1,1,7.8542,NaN,1
177,0,3,0,NaN,3,1,25.4667,NaN,1
178,0,1,1,50,0,0,28.7125,C49,3
179,0,2,0,30,0,0,13,NaN,1
180,0,3,0,36,0,0,0,NaN,1
181,0,3,1,NaN,8,2,69.55,NaN,1
182,0,2,0,NaN,0,0,15.05,NaN,3
183,0,3,0,9,4,2,31.3875,NaN,1
184,1,2,0,1,2,1,39,F4,1
185,1,3,1,4,0,2,22.025,NaN,1
186,0,1,0,NaN,0,0,50,A32,1
187,1,3,1,NaN,1,0,15.5,NaN,2
188,1,1,0,45,0,0,26.55,NaN,1
189,0,3,0,40,1,1,15.5,NaN,2
190,0,3,0,36,0,0,7.8958,NaN,1
191,1,2,1,32,0,0,13,NaN,1
192,0,2,0,19,0,0,13,NaN,1
193,1,3,1,19,1,0,7.8542,NaN,1
194,1,2,0,3,1,1,26,F2,1
195,1,1,1,44,0,0,27.7208,B4,3
196,1,1,1,58,0,0,146.5208,B80,3
197,0,3,0,NaN,0,0,7.75,NaN,2
198,0,3,0,42,0,1,8.4042,NaN,1
199,1,3,1,NaN,0,0,7.75,NaN,2
200,0,2,1,24,0,0,13,NaN,1
201,0,3,0,28,0,0,9.5,NaN,1
202,0,3,0,NaN,8,2,69.55,NaN,1
203,0,3,0,34,0,0,6.4958,NaN,1
204,0,3,0,45.5,0,0,7.225,NaN,3
205,1,3,0,18,0,0,8.05,NaN,1
206,0,3,1,2,0,1,10.4625,G6,1
207,0,3,0,32,1,0,15.85,NaN,1
208,1,3,0,26,0,0,18.7875,NaN,3
209,1,3,1,16,0,0,7.75,NaN,2
210,1,1,0,40,0,0,31,A31,3
211,0,3,0,24,0,0,7.05,NaN,1
212,1,2,1,35,0,0,21,NaN,1
213,0,3,0,22,0,0,7.25,NaN,1
214,0,2,0,30,0,0,13,NaN,1
215,0,3,0,NaN,1,0,7.75,NaN,2
216,1,1,1,31,1,0,113.275,D36,3
217,1,3,1,27,0,0,7.925,NaN,1
218,0,2,0,42,1,0,27,NaN,1
219,1,1,1,32,0,0,76.2917,D15,3
220,0,2,0,30,0,0,10.5,NaN,1
221,1,3,0,16,0,0,8.05,NaN,1
222,0,2,0,27,0,0,13,NaN,1
223,0,3,0,51,0,0,8.05,NaN,1
224,0,3,0,NaN,0,0,7.8958,NaN,1
225,1,1,0,38,1,0,90,C93,1
226,0,3,0,22,0,0,9.35,NaN,1
227,1,2,0,19,0,0,10.5,NaN,1
228,0,3,0,20.5,0,0,7.25,NaN,1
229,0,2,0,18,0,0,13,NaN,1
230,0,3,1,NaN,3,1,25.4667,NaN,1
231,1,1,1,35,1,0,83.475,C83,1
232,0,3,0,29,0,0,7.775,NaN,1
233,0,2,0,59,0,0,13.5,NaN,1
234,1,3,1,5,4,2,31.3875,NaN,1
235,0,2,0,24,0,0,10.5,NaN,1
236,0,3,1,NaN,0,0,7.55,NaN,1
237,0,2,0,44,1,0,26,NaN,1
238,1,2,1,8,0,2,26.25,NaN,1
239,0,2,0,19,0,0,10.5,NaN,1
240,0,2,0,33,0,0,12.275,NaN,1
241,0,3,1,NaN,1,0,14.4542,NaN,3
242,1,3,1,NaN,1,0,15.5,NaN,2
243,0,2,0,29,0,0,10.5,NaN,1
244,0,3,0,22,0,0,7.125,NaN,1
245,0,3,0,30,0,0,7.225,NaN,3
246,0,1,0,44,2,0,90,C78,2
247,0,3,1,25,0,0,7.775,NaN,1
248,1,2,1,24,0,2,14.5,NaN,1
249,1,1,0,37,1,1,52.5542,D35,1
250,0,2,0,54,1,0,26,NaN,1
251,0,3,0,NaN,0,0,7.25,NaN,1
252,0,3,1,29,1,1,10.4625,G6,1
253,0,1,0,62,0,0,26.55,C87,1
254,0,3,0,30,1,0,16.1,NaN,1
255,0,3,1,41,0,2,20.2125,NaN,1
256,1,3,1,29,0,2,15.2458,NaN,3
257,1,1,1,NaN,0,0,79.2,NaN,3
258,1,1,1,30,0,0,86.5,B77,1
259,1,1,1,35,0,0,512.3292,NaN,3
260,1,2,1,50,0,1,26,NaN,1
261,0,3,0,NaN,0,0,7.75,NaN,2
262,1,3,0,3,4,2,31.3875,NaN,1
263,0,1,0,52,1,1,79.65,E67,1
264,0,1,0,40,0,0,0,B94,1
265,0,3,1,NaN,0,0,7.75,NaN,2
266,0,2,0,36,0,0,10.5,NaN,1
267,0,3,0,16,4,1,39.6875,NaN,1
268,1,3,0,25,1,0,7.775,NaN,1
269,1,1,1,58,0,1,153.4625,C125,1
270,1,1,1,35,0,0,135.6333,C99,1
271,0,1,0,NaN,0,0,31,NaN,1
272,1,3,0,25,0,0,0,NaN,1
273,1,2,1,41,0,1,19.5,NaN,1
274,0,1,0,37,0,1,29.7,C118,3
275,1,3,1,NaN,0,0,7.75,NaN,2
276,1,1,1,63,1,0,77.9583,D7,1
277,0,3,1,45,0,0,7.75,NaN,1
278,0,2,0,NaN,0,0,0,NaN,1
279,0,3,0,7,4,1,29.125,NaN,2
280,1,3,1,35,1,1,20.25,NaN,1
281,0,3,0,65,0,0,7.75,NaN,2
282,0,3,0,28,0,0,7.8542,NaN,1
283,0,3,0,16,0,0,9.5,NaN,1
284,1,3,0,19,0,0,8.05,NaN,1
285,0,1,0,NaN,0,0,26,A19,1
286,0,3,0,33,0,0,8.6625,NaN,3
287,1,3,0,30,0,0,9.5,NaN,1
288,0,3,0,22,0,0,7.8958,NaN,1
289,1,2,0,42,0,0,13,NaN,1
290,1,3,1,22,0,0,7.75,NaN,2
291,1,1,1,26,0,0,78.85,NaN,1
292,1,1,1,19,1,0,91.0792,B49,3
293,0,2,0,36,0,0,12.875,D,3
294,0,3,1,24,0,0,8.85,NaN,1
295,0,3,0,24,0,0,7.8958,NaN,1
296,0,1,0,NaN,0,0,27.7208,NaN,3
297,0,3,0,23.5,0,0,7.2292,NaN,3
298,0,1,1,2,1,2,151.55,C22 C26,1
299,1,1,0,NaN,0,0,30.5,C106,1
300,1,1,1,50,0,1,247.5208,B58 B60,3
301,1,3,1,NaN,0,0,7.75,NaN,2
302,1,3,0,NaN,2,0,23.25,NaN,2
303,0,3,0,19,0,0,0,NaN,1
304,1,2,1,NaN,0,0,12.35,E101,2
305,0,3,0,NaN,0,0,8.05,NaN,1
306,1,1,0,0.92,1,2,151.55,C22 C26,1
307,1,1,1,NaN,0,0,110.8833,NaN,3
308,1,1,1,17,1,0,108.9,C65,3
309,0,2,0,30,1,0,24,NaN,3
310,1,1,1,30,0,0,56.9292,E36,3
311,1,1,1,24,0,0,83.1583,C54,3
312,1,1,1,18,2,2,262.375,B57 B59 B63 B66,3
313,0,2,1,26,1,1,26,NaN,1
314,0,3,0,28,0,0,7.8958,NaN,1
315,0,2,0,43,1,1,26.25,NaN,1
316,1,3,1,26,0,0,7.8542,NaN,1
317,1,2,1,24,1,0,26,NaN,1
318,0,2,0,54,0,0,14,NaN,1
319,1,1,1,31,0,2,164.8667,C7,1
320,1,1,1,40,1,1,134.5,E34,3
321,0,3,0,22,0,0,7.25,NaN,1
322,0,3,0,27,0,0,7.8958,NaN,1
323,1,2,1,30,0,0,12.35,NaN,2
324,1,2,1,22,1,1,29,NaN,1
325,0,3,0,NaN,8,2,69.55,NaN,1
326,1,1,1,36,0,0,135.6333,C32,3
327,0,3,0,61,0,0,6.2375,NaN,1
328,1,2,1,36,0,0,13,D,1
329,1,3,1,31,1,1,20.525,NaN,1
330,1,1,1,16,0,1,57.9792,B18,3
331,1,3,1,NaN,2,0,23.25,NaN,2
332,0,1,0,45.5,0,0,28.5,C124,1
333,0,1,0,38,0,1,153.4625,C91,1
334,0,3,0,16,2,0,18,NaN,1
335,1,1,1,NaN,1,0,133.65,NaN,1
336,0,3,0,NaN,0,0,7.8958,NaN,1
337,0,1,0,29,1,0,66.6,C2,1
338,1,1,1,41,0,0,134.5,E40,3
339,1,3,0,45,0,0,8.05,NaN,1
340,0,1,0,45,0,0,35.5,T,1
341,1,2,0,2,1,1,26,F2,1
342,1,1,1,24,3,2,263,C23 C25 C27,1
343,0,2,0,28,0,0,13,NaN,1
344,0,2,0,25,0,0,13,NaN,1
345,0,2,0,36,0,0,13,NaN,1
346,1,2,1,24,0,0,13,F33,1
347,1,2,1,40,0,0,13,NaN,1
348,1,3,1,NaN,1,0,16.1,NaN,1
349,1,3,0,3,1,1,15.9,NaN,1
350,0,3,0,42,0,0,8.6625,NaN,1
351,0,3,0,23,0,0,9.225,NaN,1
352,0,1,0,NaN,0,0,35,C128,1
353,0,3,0,15,1,1,7.2292,NaN,3
354,0,3,0,25,1,0,17.8,NaN,1
355,0,3,0,NaN,0,0,7.225,NaN,3
356,0,3,0,28,0,0,9.5,NaN,1
357,1,1,1,22,0,1,55,E33,1
358,0,2,1,38,0,0,13,NaN,1
359,1,3,1,NaN,0,0,7.8792,NaN,2
360,1,3,1,NaN,0,0,7.8792,NaN,2
361,0,3,0,40,1,4,27.9,NaN,1
362,0,2,0,29,1,0,27.7208,NaN,3
363,0,3,1,45,0,1,14.4542,NaN,3
364,0,3,0,35,0,0,7.05,NaN,1
365,0,3,0,NaN,1,0,15.5,NaN,2
366,0,3,0,30,0,0,7.25,NaN,1
367,1,1,1,60,1,0,75.25,D37,3
368,1,3,1,NaN,0,0,7.2292,NaN,3
369,1,3,1,NaN,0,0,7.75,NaN,2
370,1,1,1,24,0,0,69.3,B35,3
371,1,1,0,25,1,0,55.4417,E50,3
372,0,3,0,18,1,0,6.4958,NaN,1
373,0,3,0,19,0,0,8.05,NaN,1
374,0,1,0,22,0,0,135.6333,NaN,3
375,0,3,1,3,3,1,21.075,NaN,1
376,1,1,1,NaN,1,0,82.1708,NaN,3
377,1,3,1,22,0,0,7.25,NaN,1
378,0,1,0,27,0,2,211.5,C82,3
379,0,3,0,20,0,0,4.0125,NaN,3
380,0,3,0,19,0,0,7.775,NaN,1
381,1,1,1,42,0,0,227.525,NaN,3
382,1,3,1,1,0,2,15.7417,NaN,3
383,0,3,0,32,0,0,7.925,NaN,1
384,1,1,1,35,1,0,52,NaN,1
385,0,3,0,NaN,0,0,7.8958,NaN,1
386,0,2,0,18,0,0,73.5,NaN,1
387,0,3,0,1,5,2,46.9,NaN,1
388,1,2,1,36,0,0,13,NaN,1
389,0,3,0,NaN,0,0,7.7292,NaN,2
390,1,2,1,17,0,0,12,NaN,3
391,1,1,0,36,1,2,120,B96 B98,1
392,1,3,0,21,0,0,7.7958,NaN,1
393,0,3,0,28,2,0,7.925,NaN,1
394,1,1,1,23,1,0,113.275,D36,3
395,1,3,1,24,0,2,16.7,G6,1
396,0,3,0,22,0,0,7.7958,NaN,1
397,0,3,1,31,0,0,7.8542,NaN,1
398,0,2,0,46,0,0,26,NaN,1
399,0,2,0,23,0,0,10.5,NaN,1
400,1,2,1,28,0,0,12.65,NaN,1
401,1,3,0,39,0,0,7.925,NaN,1
402,0,3,0,26,0,0,8.05,NaN,1
403,0,3,1,21,1,0,9.825,NaN,1
404,0,3,0,28,1,0,15.85,NaN,1
405,0,3,1,20,0,0,8.6625,NaN,1
406,0,2,0,34,1,0,21,NaN,1
407,0,3,0,51,0,0,7.75,NaN,1
408,1,2,0,3,1,1,18.75,NaN,1
409,0,3,0,21,0,0,7.775,NaN,1
410,0,3,1,NaN,3,1,25.4667,NaN,1
411,0,3,0,NaN,0,0,7.8958,NaN,1
412,0,3,0,NaN,0,0,6.8583,NaN,2
413,1,1,1,33,1,0,90,C78,2
414,0,2,0,NaN,0,0,0,NaN,1
415,1,3,0,44,0,0,7.925,NaN,1
416,0,3,1,NaN,0,0,8.05,NaN,1
417,1,2,1,34,1,1,32.5,NaN,1
418,1,2,1,18,0,2,13,NaN,1
419,0,2,0,30,0,0,13,NaN,1
420,0,3,1,10,0,2,24.15,NaN,1
421,0,3,0,NaN,0,0,7.8958,NaN,3
422,0,3,0,21,0,0,7.7333,NaN,2
423,0,3,0,29,0,0,7.875,NaN,1
424,0,3,1,28,1,1,14.4,NaN,1
425,0,3,0,18,1,1,20.2125,NaN,1
426,0,3,0,NaN,0,0,7.25,NaN,1
427,1,2,1,28,1,0,26,NaN,1
428,1,2,1,19,0,0,26,NaN,1
429,0,3,0,NaN,0,0,7.75,NaN,2
430,1,3,0,32,0,0,8.05,E10,1
431,1,1,0,28,0,0,26.55,C52,1
432,1,3,1,NaN,1,0,16.1,NaN,1
433,1,2,1,42,1,0,26,NaN,1
434,0,3,0,17,0,0,7.125,NaN,1
435,0,1,0,50,1,0,55.9,E44,1
436,1,1,1,14,1,2,120,B96 B98,1
437,0,3,1,21,2,2,34.375,NaN,1
438,1,2,1,24,2,3,18.75,NaN,1
439,0,1,0,64,1,4,263,C23 C25 C27,1
440,0,2,0,31,0,0,10.5,NaN,1
441,1,2,1,45,1,1,26.25,NaN,1
442,0,3,0,20,0,0,9.5,NaN,1
443,0,3,0,25,1,0,7.775,NaN,1
444,1,2,1,28,0,0,13,NaN,1
445,1,3,0,NaN,0,0,8.1125,NaN,1
446,1,1,0,4,0,2,81.8583,A34,1
447,1,2,1,13,0,1,19.5,NaN,1
448,1,1,0,34,0,0,26.55,NaN,1
449,1,3,1,5,2,1,19.2583,NaN,3
450,1,1,0,52,0,0,30.5,C104,1
451,0,2,0,36,1,2,27.75,NaN,1
452,0,3,0,NaN,1,0,19.9667,NaN,1
453,0,1,0,30,0,0,27.75,C111,3
454,1,1,0,49,1,0,89.1042,C92,3
455,0,3,0,NaN,0,0,8.05,NaN,1
456,1,3,0,29,0,0,7.8958,NaN,3
457,0,1,0,65,0,0,26.55,E38,1
458,1,1,1,NaN,1,0,51.8625,D21,1
459,1,2,1,50,0,0,10.5,NaN,1
460,0,3,0,NaN,0,0,7.75,NaN,2
461,1,1,0,48,0,0,26.55,E12,1
462,0,3,0,34,0,0,8.05,NaN,1
463,0,1,0,47,0,0,38.5,E63,1
464,0,2,0,48,0,0,13,NaN,1
465,0,3,0,NaN,0,0,8.05,NaN,1
466,0,3,0,38,0,0,7.05,NaN,1
467,0,2,0,NaN,0,0,0,NaN,1
468,0,1,0,56,0,0,26.55,NaN,1
469,0,3,0,NaN,0,0,7.725,NaN,2
470,1,3,1,0.75,2,1,19.2583,NaN,3
471,0,3,0,NaN,0,0,7.25,NaN,1
472,0,3,0,38,0,0,8.6625,NaN,1
473,1,2,1,33,1,2,27.75,NaN,1
474,1,2,1,23,0,0,13.7917,D,3
475,0,3,1,22,0,0,9.8375,NaN,1
476,0,1,0,NaN,0,0,52,A14,1
477,0,2,0,34,1,0,21,NaN,1
478,0,3,0,29,1,0,7.0458,NaN,1
479,0,3,0,22,0,0,7.5208,NaN,1
480,1,3,1,2,0,1,12.2875,NaN,1
481,0,3,0,9,5,2,46.9,NaN,1
482,0,2,0,NaN,0,0,0,NaN,1
483,0,3,0,50,0,0,8.05,NaN,1
484,1,3,1,63,0,0,9.5875,NaN,1
485,1,1,0,25,1,0,91.0792,B49,3
486,0,3,1,NaN,3,1,25.4667,NaN,1
487,1,1,1,35,1,0,90,C93,1
488,0,1,0,58,0,0,29.7,B37,3
489,0,3,0,30,0,0,8.05,NaN,1
490,1,3,0,9,1,1,15.9,NaN,1
491,0,3,0,NaN,1,0,19.9667,NaN,1
492,0,3,0,21,0,0,7.25,NaN,1
493,0,1,0,55,0,0,30.5,C30,1
494,0,1,0,71,0,0,49.5042,NaN,3
495,0,3,0,21,0,0,8.05,NaN,1
496,0,3,0,NaN,0,0,14.4583,NaN,3
497,1,1,1,54,1,0,78.2667,D20,3
498,0,3,0,NaN,0,0,15.1,NaN,1
499,0,1,1,25,1,2,151.55,C22 C26,1
500,0,3,0,24,0,0,7.7958,NaN,1
501,0,3,0,17,0,0,8.6625,NaN,1
502,0,3,1,21,0,0,7.75,NaN,2
503,0,3,1,NaN,0,0,7.6292,NaN,2
504,0,3,1,37,0,0,9.5875,NaN,1
505,1,1,1,16,0,0,86.5,B79,1
506,0,1,0,18,1,0,108.9,C65,3
507,1,2,1,33,0,2,26,NaN,1
508,1,1,0,NaN,0,0,26.55,NaN,1
509,0,3,0,28,0,0,22.525,NaN,1
510,1,3,0,26,0,0,56.4958,NaN,1
511,1,3,0,29,0,0,7.75,NaN,2
512,0,3,0,NaN,0,0,8.05,NaN,1
513,1,1,0,36,0,0,26.2875,E25,1
514,1,1,1,54,1,0,59.4,NaN,3
515,0,3,0,24,0,0,7.4958,NaN,1
516,0,1,0,47,0,0,34.0208,D46,1
517,1,2,1,34,0,0,10.5,F33,1
518,0,3,0,NaN,0,0,24.15,NaN,2
519,1,2,1,36,1,0,26,NaN,1
520,0,3,0,32,0,0,7.8958,NaN,1
521,1,1,1,30,0,0,93.5,B73,1
522,0,3,0,22,0,0,7.8958,NaN,1
523,0,3,0,NaN,0,0,7.225,NaN,3
524,1,1,1,44,0,1,57.9792,B18,3
525,0,3,0,NaN,0,0,7.2292,NaN,3
526,0,3,0,40.5,0,0,7.75,NaN,2
527,1,2,1,50,0,0,10.5,NaN,1
528,0,1,0,NaN,0,0,221.7792,C95,1
529,0,3,0,39,0,0,7.925,NaN,1
530,0,2,0,23,2,1,11.5,NaN,1
531,1,2,1,2,1,1,26,NaN,1
532,0,3,0,NaN,0,0,7.2292,NaN,3
533,0,3,0,17,1,1,7.2292,NaN,3
534,1,3,1,NaN,0,2,22.3583,NaN,3
535,0,3,1,30,0,0,8.6625,NaN,1
536,1,2,1,7,0,2,26.25,NaN,1
537,0,1,0,45,0,0,26.55,B38,1
538,1,1,1,30,0,0,106.425,NaN,3
539,0,3,0,NaN,0,0,14.5,NaN,1
540,1,1,1,22,0,2,49.5,B39,3
541,1,1,1,36,0,2,71,B22,1
542,0,3,1,9,4,2,31.275,NaN,1
543,0,3,1,11,4,2,31.275,NaN,1
544,1,2,0,32,1,0,26,NaN,1
545,0,1,0,50,1,0,106.425,C86,3
546,0,1,0,64,0,0,26,NaN,1
547,1,2,1,19,1,0,26,NaN,1
548,1,2,0,NaN,0,0,13.8625,NaN,3
549,0,3,0,33,1,1,20.525,NaN,1
550,1,2,0,8,1,1,36.75,NaN,1
551,1,1,0,17,0,2,110.8833,C70,3
552,0,2,0,27,0,0,26,NaN,1
553,0,3,0,NaN,0,0,7.8292,NaN,2
554,1,3,0,22,0,0,7.225,NaN,3
555,1,3,1,22,0,0,7.775,NaN,1
556,0,1,0,62,0,0,26.55,NaN,1
557,1,1,1,48,1,0,39.6,A16,3
558,0,1,0,NaN,0,0,227.525,NaN,3
559,1,1,1,39,1,1,79.65,E67,1
560,1,3,1,36,1,0,17.4,NaN,1
561,0,3,0,NaN,0,0,7.75,NaN,2
562,0,3,0,40,0,0,7.8958,NaN,1
563,0,2,0,28,0,0,13.5,NaN,1
564,0,3,0,NaN,0,0,8.05,NaN,1
565,0,3,1,NaN,0,0,8.05,NaN,1
566,0,3,0,24,2,0,24.15,NaN,1
567,0,3,0,19,0,0,7.8958,NaN,1
568,0,3,1,29,0,4,21.075,NaN,1
569,0,3,0,NaN,0,0,7.2292,NaN,3
570,1,3,0,32,0,0,7.8542,NaN,1
571,1,2,0,62,0,0,10.5,NaN,1
